,x_ind,cluster,centroid,train/test,lambda,rf,error,parent_ind
426,426,1,0,1,4,0.2,-0.2,319
427,427,1,0,0,5,0.0,0.0,328
428,428,3,1,0,1,0.0,0.0,464
429,429,1,0,1,5,0.13333333333333333,0.13333333333333333,419
430,430,3,1,0,4,0.26666666666666666,0.0,1605
431,431,2,0,0,5,0.13333333333333333,0.0,1416
432,432,3,1,0,3,0.13333333333333333,0.0,1535
433,433,4,1,0,4,0.13333333333333333,0.0,244
434,434,3,0,0,3,0.0,0.0,255
435,435,0,0,0,4,0.13333333333333333,-0.13333333333333333,445
436,436,1,0,0,4,0.0,0.0,317
437,437,2,1,0,2,0.0,0.0,356
438,438,1,0,1,4,0.13333333333333333,-0.13333333333333333,319
439,439,0,1,0,4,0.13333333333333333,0.0,342
440,440,1,1,0,3,0.26666666666666666,0.0,321
441,441,2,0,0,5,0.13333333333333333,-0.13333333333333333,352
442,442,3,0,0,4,0.2,-0.06666666666666668,263
443,443,4,0,1,5,0.13333333333333333,0.0,433
444,444,3,0,0,3,0.0,0.0,2323
445,445,0,1,0,3,0.0,0.0,246
446,446,7,1,0,0,0.06666666666666667,0.0,-1
447,447,0,1,0,3,0.0,0.0,437
448,448,3,1,0,3,0.0,0.0,2256
449,449,0,0,0,5,0.13333333333333333,0.0,439
450,450,2,0,1,4,0.4666666666666667,0.0,271
451,451,3,0,0,4,0.13333333333333333,0.0,461
452,452,0,0,0,4,0.3333333333333333,0.0,2434
453,453,2,1,0,4,0.13333333333333333,0.0,483
454,454,3,0,0,4,0.2,-0.13333333333333336,335
455,455,0,0,0,4,0.0,0.0,445
456,456,3,1,0,0,0.0,0.0,-1
457,457,4,0,1,5,0.0,0.0,358
458,458,3,0,0,3,0.4666666666666667,0.0,637
459,459,1,1,0,3,0.13333333333333333,0.0,280
460,460,1,1,0,1,0.6666666666666666,0.0,571
461,461,3,1,0,3,0.13333333333333333,0.0,280
462,462,1,1,0,3,0.4666666666666667,0.0,570
463,463,2,0,1,5,0.13333333333333333,0.0,453
464,464,5,1,0,0,0.4666666666666667,0.0,-1
465,465,2,0,1,4,0.0,0.13333333333333333,286
466,466,2,0,0,4,0.06666666666666667,-0.06666666666666667,167
467,467,1,0,0,4,0.0,0.0,278
468,468,3,0,1,4,0.06666666666666667,-0.06666666666666667,587
469,469,2,0,0,5,0.3333333333333333,0.0,370
470,470,3,0,0,3,0.13333333333333333,0.33333333333333337,768
471,471,3,0,1,4,0.13333333333333333,0.0,461
472,472,2,0,1,4,0.6666666666666666,0.13333333333333341,1767
473,473,3,0,0,5,0.13333333333333333,0.0,573
474,474,0,1,0,0,0.4666666666666667,0.0,-1
475,475,2,0,0,4,0.13333333333333333,0.0,286
476,476,1,1,0,1,0.6,0.0,464
477,477,0,0,0,4,0.0,0.13333333333333333,487
478,478,3,0,1,4,0.06666666666666667,0.33333333333333337,299
479,479,0,0,0,5,0.4,0.0,578
480,480,3,1,0,3,0.5333333333333333,0.0,181
481,481,0,1,0,4,0.3333333333333333,0.0,483
482,482,0,0,0,3,0.13333333333333333,0.4666666666666667,4918
483,483,2,1,0,3,0.3333333333333333,0.0,374
484,484,2,1,0,2,0.7333333333333333,0.0,782
485,485,2,0,1,4,0.13333333333333333,0.0,286
486,486,1,0,1,4,0.4,-0.4,379
487,487,0,1,0,3,0.13333333333333333,0.0,386
488,488,1,0,0,3,0.8,0.0,2469
489,489,3,1,0,4,0.6666666666666666,0.0,380
490,490,3,0,0,4,0.8,-0.6666666666666667,263
491,491,0,0,1,5,0.5333333333333333,-0.2,481
492,492,4,1,0,3,0.5333333333333333,0.0,386
493,493,4,1,0,4,0.3333333333333333,0.0,483
494,494,3,1,0,2,0.3333333333333333,0.0,673
495,495,0,0,0,4,0.3333333333333333,-0.19999999999999998,487
496,496,1,0,0,4,0.8,-0.33333333333333337,377
497,497,0,0,1,4,0.13333333333333333,0.0,487
498,498,1,0,0,4,0.4,-0.4,379
499,499,3,1,0,4,0.3333333333333333,0.0,409
500,500,2,0,0,4,0.4,0.0,1495
501,501,3,0,1,5,0.3333333333333333,0.0,610
502,502,1,0,0,5,0.6,0.20000000000000007,609
503,503,0,0,0,5,0.3333333333333333,-0.19999999999999998,413
504,504,3,1,0,3,0.13333333333333333,0.0,205
505,505,2,0,1,5,0.26666666666666666,0.06666666666666665,614
506,506,3,0,0,3,0.06666666666666667,0.0,327
507,507,3,1,0,4,0.13333333333333333,0.0,417
508,508,1,0,0,4,0.13333333333333333,-0.13333333333333333,317
509,509,3,0,0,5,0.3333333333333333,0.0,499
510,510,1,1,0,3,0.7333333333333333,0.0,2692
511,511,1,0,1,5,0.3333333333333333,0.0,620
512,512,3,0,0,4,0.3333333333333333,-0.19999999999999998,404
513,513,0,0,0,5,0.26666666666666666,-0.13333333333333333,413
514,514,3,0,0,4,0.4666666666666667,-0.4,335
515,515,2,1,0,3,0.13333333333333333,0.0,226
516,516,1,1,0,3,0.13333333333333333,0.0,217
517,517,0,0,1,5,0.13333333333333333,0.19999999999999998,606
